"date","comp_abb","home_team","home_score","away_score","away_team","comp_name","comp_stage"
2021-09-08,"WQE","Albania",5,0,"San Marino","WC Qualification Europe","1st-round"
2019-03-22,"ECQ","Albania",0,2,"Turkey","EC Qualification","qualifying-round"
2019-09-09,"FRI","Algeria",1,0,"Benin","Friendlies","friendlies-1"
2021-03-29,"ACO","Algeria",5,0,"Botswana","Africa Cup of Nations Qualification","group-stage"
2021-11-16,"WQA","Algeria",2,2,"Burkina Faso","WC Qualification Africa","2nd-round"
2019-06-11,"FRI","Algeria",1,1,"Burundi","Friendlies","friendlies-2"
2022-03-29,"WQA","Algeria",1,2,"Cameroon","WC Qualification Africa","3rd-round"
2019-10-15,"FRI","Algeria",3,0,"Colombia","Friendlies","friendlies-1"
2019-10-10,"FRI","Algeria",1,1,"Congo DR","Friendlies","friendlies-2"
2021-09-02,"WQA","Algeria",8,0,"Djibouti","WC Qualification Africa","2nd-round"
2021-12-07,"ARC","Algeria",1,1,"Egypt","Arab Cup","group-stage"
2022-01-16,"ACO","Algeria",0,1,"Equatorial Guinea","Africa Cup of Nations","group-stage"
2019-03-22,"ACO","Algeria",1,1,"Gambia","Africa Cup of Nations Qualification","group-stage"
2022-01-05,"FRI","Algeria",3,0,"Ghana","Friendlies","friendlies-1"
2019-07-07,"ACO","Algeria",3,0,"Guinea","Africa Cup of Nations","8th-finals"
2022-09-23,"FRI","Algeria",1,0,"Guinea","Friendlies","friendlies-1"
2019-06-23,"ACO","Algeria",2,0,"Kenya","Africa Cup of Nations","group-stage"
2021-06-17,"FRI","Algeria",5,1,"Liberia","Friendlies","friendlies-1"
2021-06-06,"FRI","Algeria",1,0,"Mali","Friendlies","friendlies-1"
2019-06-16,"NOF","Algeria",3,2,"Mali","Non-FIFA Friendlies","friendlies-3"
2021-06-03,"FRI","Algeria",4,1,"Mauritania","Friendlies","friendlies-1"
2019-09-21,"ANC","Algeria",0,0,"Morocco","African Nations Championship","1st-round"
2021-10-08,"WQA","Algeria",6,1,"Niger","WC Qualification Africa","2nd-round"
2019-07-14,"ACO","Algeria",2,1,"Nigeria","Africa Cup of Nations","semi-finals"
2022-09-27,"FRI","Algeria",2,1,"Nigeria","Friendlies","friendlies-1"
2022-01-11,"ACO","Algeria",0,0,"Sierra Leone","Africa Cup of Nations","group-stage"
2021-12-01,"ARC","Algeria",4,0,"Sudan","Arab Cup","group-stage"
2019-03-26,"FRI","Algeria",1,0,"Tunisia","Friendlies","friendlies-1"
2022-06-04,"ACO","Algeria",2,0,"Uganda","Africa Cup of Nations Qualification","group-stage"
2019-11-14,"ACO","Algeria",5,0,"Zambia","Africa Cup of Nations Qualification","group-stage"
2020-11-12,"ACO","Algeria",3,1,"Zimbabwe","Africa Cup of Nations Qualification","group-stage"
2019-07-09,"PAG","American Samoa",0,9,"Fiji","Pacific Games","group-stage"
2019-07-07,"PAG","American Samoa",0,5,"New Caledonia","Pacific Games","group-stage"
2019-07-11,"PAG","American Samoa",1,1,"Tuvalu","Pacific Games","group-stage"
2019-03-25,"ECQ","Andorra",0,3,"Albania","EC Qualification","qualifying-round"
2021-03-25,"WQE","Andorra",0,1,"Albania","WC Qualification Europe","1st-round"
2020-10-07,"FRI","Andorra",1,2,"Cabo Verde","Friendlies","friendlies-2"
2021-10-09,"WQE","Andorra",0,5,"England","WC Qualification Europe","1st-round"
2020-09-06,"UNL","Andorra",0,1,"Faroe Islands","UEFA Nations League","league-d"
2019-06-11,"ECQ","Andorra",0,4,"France","EC Qualification","qualifying-round"
2021-06-07,"FRI","Andorra",0,0,"Gibraltar","Friendlies","friendlies-2"
2022-03-28,"FRI","Andorra",1,0,"Grenada","Friendlies","friendlies-2"
2021-03-31,"WQE","Andorra",1,4,"Hungary","WC Qualification Europe","1st-round"
2019-03-22,"ECQ","Andorra",0,2,"Iceland","EC Qualification","qualifying-round"
2020-11-17,"UNL","Andorra",0,5,"Latvia","UEFA Nations League","league-d"
2022-09-25,"UNL","Andorra",1,1,"Latvia","UEFA Nations League","league-d"
2022-06-10,"UNL","Andorra",2,1,"Liechtenstein","UEFA Nations League","league-d"
